Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid;Elgeseter NO µg/m³ Day;Dekning;Elgeseter NO2 µg/m³ Day;Dekning;Elgeseter NOx µg/m³ Day;Dekning;Elgeseter PM10 µg/m³ Day;Dekning;Elgeseter PM2.5 µg/m³ Day;Dekning
21.03.2018 00:00;26,8128392221;100;39,6698426964;100;80,6398610277;100;4,3213789945;100;2,7290005313;100
22.03.2018 00:00;51,2481513296;100;51,0685456932;100;129,3757209248;100;7,8201390396;100;3,8662288639;100
23.03.2018 00:00;37,8290609134;96;50,8060679134;96;108,608872989;96;4,9659266349;88;2,9304199206;88
24.03.2018 00:00;17,9398597315;100;26,8780097256;100;54,2901153953;100;5,1095221398;96;0,6769766275;96
25.03.2018 00:00;5,9884978622;100;15,0481227408;100;24,1985474743;100;3,7546455014;96;1,6433602522;96
26.03.2018 00:00;17,6175199823;100;31,2814868165;100;58,2010573495;100;15,9803131251;100;3,4623648055;100
27.03.2018 00:00;15,1189960496;100;26,4654300196;100;49,5672559835;100;24,7598438729;100;3,423382475;100
28.03.2018 00:00;20,3420237332;96;32,0054761768;96;63,0880884411;96;28,0956585375;100;4,6240784931;100
29.03.2018 00:00;7,8496814708;100;24,0017143083;100;35,9960275957;100;19,1156731396;100;5,1475791833;100
30.03.2018 00:00;4,7875465338;100;16,1192273073;100;23,4345984109;100;13,837575384;100;4,2396020965;100
31.03.2018 00:00;9,4882321573;100;23,479810667;100;37,9778294034;100;16,9285036625;100;4,5064605375;100
01.04.2018 00:00;8,2037161607;100;24,4200500484;100;36,9553283419;100;16,2717714229;100;6,2102049347;100
02.04.2018 00:00;8,1255620715;100;18,5594654037;100;30,9753242489;100;9,0333991174;100;3,4730615049;100
03.04.2018 00:00;18,434002651;96;25,2718003103;96;53,438956361;96;16,7038719257;100;2,0233284312;100
04.04.2018 00:00;37,0495779975;100;42,0399673;100;98,6517224801;100;15,3243195722;100;3,5662898285;100
05.04.2018 00:00;46,1737162296;100;51,4065192621;100;121,9599576609;100;7,8252327813;100;4,3588983181;100
06.04.2018 00:00;34,4646718839;100;31,8770202061;100;84,5390388447;100;8,0983062333;100;2,2058497653;100
07.04.2018 00:00;14,2256370326;100;29,4629151954;100;51,1996885812;100;9,1527987347;100;2,902507425;100
08.04.2018 00:00;15,5258873997;100;28,5353385539;100;52,2588945006;100;8,0466341111;100;5,0604675347;100
09.04.2018 00:00;38,337371664;100;42,4540676521;100;101,0335715547;100;30,7464296847;100;4,4936088986;100
10.04.2018 00:00;28,025205645;100;33,0633885844;100;75,88590281;100;39,0352882125;100;3,7850214195;100
11.04.2018 00:00;45,7331859779;96;57,6134131289;96;127,4937213031;96;51,2911549181;100;5,4259652653;100
12.04.2018 00:00;48,3108060883;100;49,7503676884;100;123,5692793914;100;49,6775285861;100;5,3762986764;100
13.04.2018 00:00;24,5802334861;100;36,0566818987;100;73,6152786654;100;44,7016999695;100;4,2307039389;100
14.04.2018 00:00;25,8301156187;100;51,1881503349;100;90,6565670003;100;37,9157661563;100;7,3048201424;100
15.04.2018 00:00;13,590152317;100;32,0273307382;100;52,7930834785;100;31,3817512264;100;8,1611841681;100
16.04.2018 00:00;44,7770161831;100;55,8087085145;100;124,2279892422;100;52,8815479146;100;8,2256671382;100
17.04.2018 00:00;33,3382331335;100;49,6162041929;100;100,5570244209;100;47,0409149042;100;13,8095914493;100
18.04.2018 00:00;41,2197467203;100;50,9946898102;100;113,9784627988;100;23,0760337694;100;11,2313223931;100
19.04.2018 00:00;48,1731035948;96;40,9937057072;96;114,6022079999;96;17,8587375944;100;8,0201532125;100
20.04.2018 00:00;32,8482353809;100;35,7133581052;100;85,9054617672;100;11,5451054757;100;6,9821332312;100
21.04.2018 00:00;11,4121993366;100;12,7851403896;100;30,2229809759;100;4,1792903299;100;1,294124659;100
22.04.2018 00:00;16,1720332284;100;23,9703233688;100;48,6811901418;100;15,9333972979;100;2,7451456986;100
23.04.2018 00:00;30,4897173848;100;39,5151926621;100;86,1034808261;100;10,7204082764;100;2,4514438014;100
24.04.2018 00:00;30,5104940644;100;24,0701638229;100;70,6901987533;100;17,3813016986;100;2,8693446576;100
25.04.2018 00:00;28,7739410532;100;25,3770070455;100;69,3435889747;100;16,9142589736;100;2,080591009;100
26.04.2018 00:00;31,7562632828;100;37,2519123249;100;85,7754826209;100;11,1431750111;100;2,8157464208;100
27.04.2018 00:00;33,4017781584;96;32,5320275277;96;83,5699445538;96;25,5776377197;92;3,9867320045;92
28.04.2018 00:00;14,3930075793;100;21,6346056577;100;43,6271212388;100;13,1547569139;100;2,5210837208;100
29.04.2018 00:00;9,5623407281;100;15,932670505;100;30,5439271376;100;16,8629093056;100;3,082635482;100
30.04.2018 00:00;14,9227168031;100;17,7245517508;100;40,526463026;100;85,571232768;100;7,0418474528;100
01.05.2018 00:00;4,8355068184;100;12,3641226134;100;19,7527770319;100;14,2037606625;100;2,2592731653;100
02.05.2018 00:00;32,3152793736;96;30,2094898701;96;79,587236753;96;33,6128625528;100;3,1821663403;100
03.05.2018 00:00;17,4554504127;100;23,4657896021;100;50,1377178327;100;19,4771403889;100;4,7971548236;100
04.05.2018 00:00;31,0219527137;100;38,6447639813;100;86,0463077278;100;26,0287623875;100;5,282044007;100
05.05.2018 00:00;19,5254228766;100;27,1392722632;100;56,9741184186;100;14,2273893563;100;3,6124940271;100
06.05.2018 00:00;11,1463304012;100;20,4412046767;100;37,4727975297;100;7,5977812;100;1,9615959403;100
07.05.2018 00:00;24,6044582318;100;28,9537973072;100;66,5494094854;100;16,0294812132;100;2,8291873146;100
08.05.2018 00:00;28,8996275881;100;33,0423530425;100;77,2009839972;100;36,3706687792;100;6,32352095;100
09.05.2018 00:00;11,109122872;96;18,0943690196;96;35,0691087681;96;27,653956126;100;5,6554634673;100
10.05.2018 00:00;2,9620229127;100;10,3912447884;100;14,9172157989;100;21,0589246528;100;7,0331438111;100
11.05.2018 00:00;29,3001797354;100;32,4042670685;100;77,1749417042;100;7,6367481292;100;2,5509617347;100
12.05.2018 00:00;11,2446830698;100;22,0379092942;100;39,2197850249;100;16,03795965;100;6,0723317847;100
13.05.2018 00:00;9,4417716543;100;23,1450738336;100;37,5721009213;100;26,7027670445;100;6,7976578486;100
14.05.2018 00:00;31,7626496273;100;39,2341048111;100;87,7674334415;100;40,1427863514;100;11,0227914306;100
15.05.2018 00:00;25,4388119699;100;43,7871775206;100;82,6576822106;100;35,0865564167;100;12,7289081292;100
16.05.2018 00:00;34,6132070416;96;33,4140889455;96;86,303069305;96;28,1516952868;100;6,4999688882;100
17.05.2018 00:00;12,8987699005;100;18,0196842161;100;37,7290046241;100;18,6887608264;100;4,5977322438;100
18.05.2018 00:00;21,2719869196;100;25,2923706466;100;57,7959666597;100;15,9592899306;100;4,2686416014;100
19.05.2018 00:00;9,4608914827;100;18,5828975511;100;33,0391397366;100;13,8228973319;100;4,8846235479;100
20.05.2018 00:00;9,3526746719;100;24,2532840332;100;38,5441709318;100;18,0620286722;100;7,0659001104;100
21.05.2018 00:00;6,4689298433;100;17,2073507847;100;27,0918755853;100;18,1522705069;100;8,3675514271;100
22.05.2018 00:00;24,3950959128;100;30,335585827;100;67,6112923818;100;26,5062940771;100;8,6945412062;100
23.05.2018 00:00;21,5571030386;100;28,4969367196;100;61,4361901626;100;17,3059710896;100;2,3279860806;100
24.05.2018 00:00;27,8654659255;96;28,8993254611;96;71,4777573953;96;23,7706689604;100;6,8154578625;100
25.05.2018 00:00;21,5223275972;100;24,7988225605;100;57,6849391289;100;22,3771928403;100;9,616675291;100
26.05.2018 00:00;11,0406838636;100;20,3482079614;100;37,218372905;100;14,7955104708;100;6,0956114847;100
27.05.2018 00:00;11,0685472476;100;23,3755974682;100;40,2883376627;100;17,6599183389;100;4,8887156479;100
28.05.2018 00:00;32,1255539946;100;40,4903264152;100;89,578172919;100;27,73274015;100;9,0631912549;100
29.05.2018 00:00;19,4280448387;100;26,1723745318;100;55,8584270453;100;22,1339535736;100;9,1734647576;100
30.05.2018 00:00;23,5694517875;100;36,5718674813;100;72,5859898125;100;24,7387326139;100;7,0875649924;100
31.05.2018 00:00;32,8744479873;100;41,5105243553;100;91,7426808799;100;27,465259375;100;7,5627142958;100
01.06.2018 00:00;20,0404832088;96;29,0836309643;96;59,7054893073;96;20,6797432;100;9,5801307833;100
02.06.2018 00:00;11,8146531623;100;19,0050371642;100;37,0578271963;100;11,5084326667;100;4,838948025;100
03.06.2018 00:00;10,1005019491;100;12,4095947577;100;27,8431617359;100;9,1117180542;100;3,1453957625;100
04.06.2018 00:00;27,3003954764;100;18,2278880283;100;59,9428923163;100;9,8286285587;100;1,9471565674;100
05.06.2018 00:00;28,8704965594;100;19,2166904848;100;63,3308092276;100;10,0803981347;100;1,8974737215;100
06.06.2018 00:00;23,517286903;100;22,7358420677;100;58,6702564555;100;11,4158654049;100;1,8874816465;100
07.06.2018 00:00;35,3859139279;100;27,3520044447;100;81,4216809266;100;7,6340405063;100;3,6325940139;100
08.06.2018 00:00;32,2222575486;96;25,3956125151;96;74,6312220493;96;6,9584334229;100;1,3563389451;100
09.06.2018 00:00;11,1981446693;100;15,2554436075;100;32,3662086622;100;8,1976272507;100;3,10937775;100
10.06.2018 00:00;8,8175578643;100;11,2694120944;100;24,7426405111;100;7,7541942437;100;3,243721766;100
11.06.2018 00:00;30,7597393598;100;24,1049212533;100;71,1058029952;100;11,2244478917;100;2,7528496472;100
12.06.2018 00:00;34,9806522258;100;22,5683895311;100;76,0188261321;100;12,1097062625;100;2,3263962903;100
13.06.2018 00:00;30,1280429052;100;29,1230636984;100;75,1587132575;100;13,1720462139;100;4,0002009708;100
14.06.2018 00:00;18,094872401;96;14,2524032434;96;41,9013682722;96;17,0371286875;100;3,4588879931;100
15.06.2018 00:00;23,6452066968;100;26,6095142384;100;62,7393900711;100;13,0260566028;100;4,0976737306;100
16.06.2018 00:00;17,2053250931;100;19,191943072;100;45,4816798143;100;13,9646043764;100;4,2798031097;100
17.06.2018 00:00;9,8837127374;100;16,0914469609;100;31,1937600237;100;9,9308835611;100;3,6125417333;100
18.06.2018 00:00;23,6974182215;100;25,5161394275;100;61,7257944699;100;14,6984153292;100;5,2392153195;100
19.06.2018 00:00;25,1328022677;100;21,3646690492;100;59,7675909143;100;8,1404156264;100;2,6241624597;100
20.06.2018 00:00;32,1961657027;96;22,1457832565;96;71,3415244502;96;17,711060384;100;3,1936395514;100
21.06.2018 00:00;29,017951351;100;21,909877369;100;66,2493070333;100;8,5602890743;100;2,2270999472;100
22.06.2018 00:00;27,0225590783;100;16,8049307466;100;58,0954010182;100;5,66803225;100;2,5791787181;100
23.06.2018 00:00;17,7300283056;100;16,5718274254;100;43,6633106763;100;5,3786362667;100;2,7570059167;100
24.06.2018 00:00;12,5879002518;100;20,7079611461;100;39,9422727309;100;5,6247059563;100;2,6832429771;100
25.06.2018 00:00;30,7321185019;100;26,593111037;100;73,5517881079;100;13,9186260354;100;4,9609701396;100
26.06.2018 00:00;22,7808959108;100;22,7697171309;100;57,5789260825;100;21,896229625;100;7,5487312667;100
27.06.2018 00:00;28,5315406276;100;31,983691449;100;75,5798855279;100;19,7573634146;100;7,3499930354;100
28.06.2018 00:00;24,896772029;100;21,2106485288;100;59,2529161891;100;12,0861584292;100;4,8350710292;100
29.06.2018 00:00;26,7433093665;96;18,8801665615;96;59,7439432734;96;13,6920123307;100;2,4533980701;100
30.06.2018 00:00;10,1499749032;100;12,1548582751;100;27,6640199272;100;7,2782756444;100;2,6706265042;100
01.07.2018 00:00;8,3097137672;100;15,2141277958;100;27,911370432;100;9,7291582514;100;4,5374301292;100
02.07.2018 00:00;20,1993153985;100;23,079727833;100;53,944281762;100;20,0592043667;100;7,2299607292;100
03.07.2018 00:00;15,4251150806;100;18,5780275515;100;42,1476033947;100;10,7558540813;100;4,2227740132;100
04.07.2018 00:00;9,5240144313;100;13,2890855117;100;27,8417795627;100;6,8280408993;100;2,270026334;100
05.07.2018 00:00;18,4799720442;100;18,4976087441;100;46,7350060276;100;13,6725448021;100;5,0914443437;100
06.07.2018 00:00;18,0457345356;96;16,854399163;96;44,4282815334;96;12,4753453958;100;3,6361571382;100
07.07.2018 00:00;11,2835496063;100;12,9239645238;100;30,1652283221;100;8,7042237799;100;2,9089114604;100
08.07.2018 00:00;7,6864677125;100;12,3069297574;100;24,0518524221;100;8,4433875695;100;4,0587830444;100
09.07.2018 00:00;22,77076058;100;20,7117802847;100;55,5055024509;100;10,7710337528;100;4,1701347847;100
10.07.2018 00:00;20,2750960451;100;18,7929485868;100;49,7732953436;100;14,2989498625;100;5,694260025;100
11.07.2018 00:00;19,1722812412;96;21,4155615059;96;50,7108072424;96;16,7267088139;100;7,3857673472;100
12.07.2018 00:00;13,1617708181;100;14,8773770143;100;34,9885628243;100;14,0636740715;100;7,002426509;100
13.07.2018 00:00;14,0747684801;100;15,1241498493;100;36,6303960869;100;12,711278559;100;6,1592757264;100
14.07.2018 00:00;13,7327091759;100;19,7398738912;100;40,723453512;100;10,1132592132;100;4,6935011465;100
15.07.2018 00:00;8,065692776;100;14,447791498;100;26,7721700597;100;9,0024152118;100;4,9786817556;100
16.07.2018 00:00;19,6546999125;100;22,6191534385;100;52,6515349048;100;15,3262831146;100;7,6396399174;100
17.07.2018 00:00;17,0315088913;100;25,4447266771;100;51,468872263;100;19,6476672917;100;10,1654848083;100
18.07.2018 00:00;25,9156968415;100;33,5252346583;100;73,1244194321;100;20,353885475;100;12,2004209375;100
19.07.2018 00:00;19,2017128887;96;17,6147969715;96;46,9550142654;96;10,1299542697;92;4,5002598788;92
20.07.2018 00:00;15,510123708;100;19,0707127279;100;42,7701817537;100;12,26861135;100;5,867449175;100
21.07.2018 00:00;9,669222094;100;15,3744528795;100;30,1490242391;100;11,9214334;100;7,8780224958;100
22.07.2018 00:00;6,2153849979;100;11,4906419571;100;20,9877502339;100;10,3125756625;100;6,0128799708;100
23.07.2018 00:00;16,5746353086;100;18,4077334068;100;43,7337761583;100;6,8041891896;100;3,0536459345;100
24.07.2018 00:00;21,8083051966;100;20,0584633849;100;53,3815537254;100;11,3438401537;88;5,7518307857;88
25.07.2018 00:00;24,3844180807;100;19,6781727902;100;56,9375636175;100;9,3174245167;100;4,5729580778;100
26.07.2018 00:00;29,0183246991;100;24,8077476573;100;69,1477477975;100;11,7941243972;100;5,710900375;100
27.07.2018 00:00;20,718739298;92;26,6365614567;92;58,2947951041;92;15,9743013326;100;8,1132923986;100
28.07.2018 00:00;7,2101947144;100;15,1045377198;100;26,1217152434;100;22,897337934;100;11,5719737236;100
29.07.2018 00:00;6,4509501284;100;10,6572468669;100;20,514298663;100;12,4389707688;100;7,9272839243;100
30.07.2018 00:00;9,9857509647;100;14,949707409;100;30,2079348831;100;15,7060956778;100;6,2175964042;100
31.07.2018 00:00;13,9545530729;100;20,7487837295;100;42,0713408249;100;14,7581791417;100;6,5546252431;100
01.08.2018 00:00;19,774844364;100;23,8774448894;100;54,0934070775;100;10,7096280403;100;4,5528663861;100
02.08.2018 00:00;29,1799716703;100;26,8907954724;100;71,4777921847;100;12,7592393549;100;5,872368441;100
03.08.2018 00:00;26,8609948506;96;25,1550860412;96;66,1986861729;96;9,3150021688;100;4,5751705243;100
04.08.2018 00:00;14,0898646638;100;16,6193669839;100;38,1486801902;100;6,1178091771;100;3,0450069188;100
05.08.2018 00:00;11,3857529064;100;11,290217141;100;28,6876475819;100;5,1849591208;100;2,9521216146;100
06.08.2018 00:00;37,2975565897;100;26,3495506486;100;83,3402171176;100;9,2597802625;100;3,06324075;100
07.08.2018 00:00;28,8936358441;100;23,3216189707;100;67,4710945405;100;18,6903352458;100;5,4775053167;100
08.08.2018 00:00;28,4698546387;100;26,2649999539;100;69,7669378417;100;21,5636389396;100;6,2784815979;100
09.08.2018 00:00;22,9776579746;100;22,4890798536;100;57,5989412387;100;9,7452541125;100;4,3791402542;100
10.08.2018 00:00;30,0708758684;96;22,9116518405;96;68,8599501674;96;5,5473375972;100;2,9866806271;100
11.08.2018 00:00;22,0748862362;100;16,57032533;100;50,300751499;100;9,1407270514;100;3,864447716;100
12.08.2018 00:00;18,0828990085;100;14,8885680618;100;42,5192377467;100;7,2166499458;100;2,8686798805;100
13.08.2018 00:00;42,7889315617;100;31,6914212594;100;97,0729086858;100;11,4627772875;100;3,6299790125;100
14.08.2018 00:00;38,841046867;100;28,2786829448;100;87,6278025576;100;14,7412428569;100;4,8309759944;100
15.08.2018 00:00;45,7410738513;100;28,1471439759;100;98,0395048207;100;19,1944018514;100;7,0700090417;100
16.08.2018 00:00;52,126754125;100;38,3675642418;100;118,0172445449;100;13,5475751194;100;6,3900302653;100
17.08.2018 00:00;34,402483737;96;25,9389685734;96;78,5059637236;96;9,7809858111;100;3,6428424438;100
18.08.2018 00:00;21,7639528599;100;17,8949172367;100;51,1502372066;100;6,7325735146;100;3,3115632514;100
19.08.2018 00:00;9,8713370402;100;10,169968594;100;25,2533715914;100;4,1324070993;100;2,1599904674;100
20.08.2018 00:00;37,2499121923;100;23,7335445605;100;80,6514103904;100;6,1340656014;100;2,4676635007;100
21.08.2018 00:00;39,9478567874;100;30,2736667203;100;91,3139918914;100;12,0336510597;100;4,0954670764;100
22.08.2018 00:00;49,439390271;100;33,0296531682;100;108,5730415024;100;8,949317534;100;2,9431792465;100
23.08.2018 00:00;32,3486384327;100;29,883893925;100;79,3126134502;100;14,091080191;100;3,7679535771;100
24.08.2018 00:00;38,7507644997;96;30,0698190354;96;89,280987191;96;15,2955461545;92;4,185184222;92
25.08.2018 00:00;11,2623010929;100;12,4959401644;100;29,7047362343;100;6,5533916535;100;1,905052391;100
26.08.2018 00:00;13,8022786437;100;19,4528592138;100;40,5427409814;100;6,4336465602;100;2,701531319;100
27.08.2018 00:00;62,1058860926;100;34,1826819;100;129,0804758494;100;11,6324556201;100;4,8276455861;100
28.08.2018 00:00;46,668947035;100;31,572341807;100;102,8824928765;100;19,1998687535;100;7,0021893194;100
